Offset(P)            #Ptr   #Hnd Access Name
0x0000000004bfe038      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_82_for_KB2973351~31bf3856ad364e35~x86~~6.1.1.1.mum
0x0000000004bfe290      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB3161949~31bf3856ad364e35~x86~~6.1.1.0.mum
0x0000000004bfe740      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\svchost.exe
0x0000000004bfeab0      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB3179573_SP1~31bf3856ad364e35~x86~~6.1.1.0.mum
0x0000000004bfebf0      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB3177467_SP1~31bf3856ad364e35~x86~~6.1.2.5.mum
0x000000007e2007f0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\en-US\pacer.sys.mui
0x000000007e200df0      8      0 R--r-- \Device\HarddiskVolume1\Windows\System32\config\systemprofile\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\36AC0BE60E1243344AE145F746D881FE
0x000000007e203140      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Package_36_for_KB2732059~31bf3856ad364e35~x86~~6.1.5.1.cat
0x000000007e203e48      3      0 R--rwd \Device\HarddiskVolume1\Windows\System32\WsmSvc.dll
0x000000007e20f120      8      0 R--r-d \Device\HarddiskVolume1\Windows\Fonts\angsa.ttf
0x000000007e20fe60      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\vmstorfltres.dll
0x000000007e210100      3      0 R--rwd \Device\HarddiskVolume1\Users\IEUser\Desktop\x96dbg\release\x32\Qt5Core.dll
0x000000007e210468      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\DXP.dll
0x000000007e210c30      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-PeerToPeer-Full-Package~31bf3856ad364e35~x86~en-US~6.1.7601.17514.cat
0x000000007e214580      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\Speech\SpeechUX\speechuxcpl.dll
0x000000007e214710      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\rasgcw.dll
0x000000007e215928      1      0 R--r-- \Device\HarddiskVolume1\Windows\Prefetch\ReadyBoot\Trace6.fx
0x000000007e215c88      8      0 R--r-d \Device\HarddiskVolume1\Windows\diagnostics\scheduled\Maintenance\RS_AdminDiagnosticHistory.ps1
0x000000007e215e08      8      0 R--r-- \Device\HarddiskVolume1\Windows\inf\ndiscap.inf
0x000000007e2161e8      9      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\AltTab.dll.mui
0x000000007e2170f8      9      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010007.ci
0x000000007e2173d0      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wu.upgrade.ps.dll
